url,cp,prix,etg,asc,ter,park,maj,ref,disp,gar,transp,prox,surf,const,toil,toil_sep,sdb,meuble,rang,chauf,cuis,gard,ent,calme,piece,descr,hon,tel,score_gen,nb_votes,date_last_vote,score_shop,score_rest,score_rep,score_transp,score_cult,score_neigh,score_safe,score_clean,score_calm,score_price,score_green,score_traf,score_air,score_park
http://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/83341019.htm,75010,1 538,rdc,N.C,non,N.C,"15 / 11 / 2013",S-FAYE-VIRG,,1473.00 €,"metro_paris:Louis Blanc",,61 m²,,1,oui,,,,,,,oui,,3,"MÉTRO LOUIS BLANC - Rue La Fayette.
L'IMMOBILIÈRE vous propose un trois pièces en rez-de-chaussée sur cour et jardin de 61m² comprenant une entrée, un séjour, deux chambres, une cuisine, une salle de bains, un WC.
Chaudière mixte, digicode et interphone.",1842.22 €,"01 44 38 76 48","Très agréable",17,2013/02/10,4,4,3,4,4,4,4,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/83317933.htm,75010,1 538,rdc,N.C,non,N.C,"14 / 11 / 2013",83317933,,1473,"metro_paris:Chateau Landon,Louis Blanc","Métro Château Landon ou Louis Blanc",61 m²,,1,oui,,,,,,,,,3,"Rue Lafayette. Dans bel immeuble ancien, avec digicode, interphone, en rez-de-chaussée sur jardin et cour pavée, clair et calme, charmant appartement en bon état, comprenant: entrée, séjour avec baie vitrée donnant sur jardin, deux chambres, salle de bains, WC, cuisine aménagée, parquet au sol, chauffage individuel au gaz. Proche tous commerces et transports.",1538,"01 40 54 80 08","Très agréable",17,2013/02/10,4,4,3,4,4,4,4,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/83387823.htm,75010,1 538,rdc,non,non,N.C,"12 / 11 / 2013",0,,,,,61 m²,,1,,,,,,,,oui,,3,"Rue La Fayette - Appartement de 61m² au rez-de-chaussée comprenant une entrée, un séjour, deux chambres, une cuisine, une salle de bains, un WC. Chaudière mixte, digicode, interphone.",1538,"01 53 24 19 08","Très agréable",17,2013/02/10,4,4,3,4,4,4,4,3,3,4,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-8eme-75/83367203.htm,75008,1 539,1,oui,non,N.C,"14 / 11 / 2013",90047-70010,,,,,55 m²,,1,oui,,,,,,oui,,,2,"12 Boëtie. Appartement de 2 pièces 55 m² au 1er étage sur cour comprenant: séjour, cuisine, 1 chambre, 1 salle de bains, 1 WC. Bail soumis aux dispositions de la loi 89.462 du 6 juillet 1989 modifiée. Contact - du lundi au vendredi.","1436,64","01 55 07 38 23","Très agréable",12,2013/05/03,3,4,4,4,3,3,4,3,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-17eme-75/ternes-maillot/82477515.htm,75017,1 540,2,oui,non,1,"15 / 11 / 2013",AY1-604,"18 / 12 / 2013",1382,,Débarcadère,52 m²,,1,oui,,,oui,central,séparée,oui,oui,,2,"Rue du Débarcadère, 2 Pièces d'une surface de 51.57 m² (location vide), situé au 2e étage avec ascenseur, composé d'une entrée avec placard, un dégagement avec placard, séjour, cuisine, 1 chambre avec placard, salle de bains, WC. Et un parking. Gardienne. Chauffage et eau chaude collectifs. Actuellement occupé.",1538.53 €,"06 71 91 07 71","Très agréable",36,2013/10/01,4,4,4,4,3,4,4,3,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-15eme-75/82480417.htm,75015,1 540,1,N.C,non,1,"15 / 11 / 2013",ZB1-136,,1350,,Montparnasse,66 m²,1950,1,oui,,,,central...,séparée,oui,,oui,2,"Boulevard du Montparnasse sur cour avec vis à vis - Grand et spacieux 2/3 pièces SALON 28 M² CHAMBRE 23 M² CUISINE SALLE DE BAINS DRESSING WC SÉPARÉS - Libre mi novembre - Chauffage collectifs inclus au loyer - Calme sur Cour - *Il est possible de louer un parking auto rue Antoine Bourdel.",1841,"01 42 22 50 00","Très agréable",29,2013/10/17,4,4,4,4,4,3,4,4,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-5eme-75/83403627.htm,75005,1 540,2,N.C,non,N.C,"15 / 11 / 2013",83403627,,,metro_paris:Cardinal-Lemoine,"Universités des Sciences",50 m²,,1,oui,,,oui,,équipée,,oui,,2,"Dans un immeuble ancien, au 2ème étage sur jardin, vue dégagée, une entrée, un salon, une chambre, une salle de bains, un WC séparé, une cuisine équipée. Refait neuf, parquet, nombreux placards.",1300,"06 09 22 09 61","Très agréable",9,2013/09/27,4,5,4,4,4,3,4,4,3,3,3,3,3,2
http://www.seloger.com/annonces/locations/appartement/paris-13eme-75/buttes-aux-cailles-glaciere/83030693.htm,75013,1 540,1,oui,non,N.C,"15 / 11 / 2013","MARTIN BERNARD",,,metro_paris:Tolbiac,,69 m²,,1,oui,,,oui,,séparée,,oui,,3,"Rue Martin Bernard, proche rue de Tolbiac et Butte aux Cailles, au 1er étage avec ascenseur, un appartement refait à neuf et composé d'une entrée, un séjour, une cuisine séparée non-équipée, deux chambres, une salle de bains et un WC séparé.
Parquet au sol, double vitrage, rangements, proche commerces.",1656,"01 40 08 00 04","Très agréable",23,2013/05/26,4,4,4,4,4,3,4,3,3,3,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-14eme-75/82777517.htm,75014,1 540,N.C,oui,non,N.C,"15 / 11 / 2013",82777517,,,metro_paris:Plaisance,Plaisance,60 m²,,1,oui,,,,,,,oui,oui,3,"Dans un immeuble bourgeois avec ascenseur, vrai 3 pièces avec 2 chambres et possibilité de double-séjour. Traversant avec exposition principale au sud-ouest, sans vis-à-vis, très calme. Belles pièces, Distribution en étoile, WC séparé à l'entrée et belle cave.",1728,"06 77 44 33 19","Très agréable",18,2013/10/09,4,5,4,4,4,4,4,4,4,3,4,4,3,3
http://www.seloger.com/annonces/locations/appartement/paris-14eme-75/raspail-montparnasse/83566965.htm,75014,1 540,N.C,oui,non,N.C,"15 / 11 / 2013",83566965,"31 / 01 / 2014",,metro_paris:Edgar-Quinet,"Edgar quinet",51 m²,,1,oui,,,,,équipée,,oui,,2,"Edgar Quinet XIV°
2 pièces dans immeuble récent de standing de 51m² au 5e etg avec ascenseur
entrée, séjour, cuisine équipée ouverte, chambre, salle de bains, WC
chauffage collectif
en parfait état car refait à neuf, parquet avec bel espace lumineux, sans vis-à-vis donnant sur verdure
Loyer CC: 1540E
Agence Alain Rousseau Immobilière comine.",,"01 43 35 40 55","Très agréable",18,2013/10/09,4,5,4,4,4,4,4,4,4,3,4,4,3,3
http://www.seloger.com/annonces/locations/appartement/paris-14eme-75/raspail-montparnasse/76131961.htm,75014,1 540,N.C,N.C,non,N.C,"13 / 11 / 2013",76131961,,,metro_paris:Vavin,"Métro vavin",52 m²,,1,oui,,,,,,oui,,,3,"Situé boulevard du Montparnasse, dans un immeuble avec gardienne et interphone, un appartement complètement refait à neuf, comprenant une entrée, une cuisine, un séjour, deux chambres, une salle de bains et un WC séparé. Parquet et moulures. Chauffage individuel électrique.",,"01 43 62 52 16","Très agréable",18,2013/10/09,4,5,4,4,4,4,4,4,4,3,4,4,3,3
http://www.seloger.com/annonces/locations/appartement/paris-13eme-75/83042343.htm,75013,1 540,N.C,oui,non,0,"13 / 11 / 2013",BAUD,,,,,68 m²,,1,oui,,,,,séparée...,,,,3,"Situé rue baudricourt, dans un immeuble récent bien tenu avec ascenseur/digicode/interphone/local vélo. 3 pièces très clair et calme au dernier étage comprenant: séjour avec 2 balconnets-cuisine séparée équipée-belle salle de bains-WC séparés-2 chambres avec penderie dont 1 avec balconnet. Cave en sous-sol. Garage fermé en sous-sol compris. Double vitrage. Chauffage et eau chaude par chaudière gaz individuelle. Colocation possible.",,"06 63 17 05 85","Très agréable",23,2013/05/26,4,4,4,4,4,3,4,3,3,3,3,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-17eme-75/epinettes-bessieres/83573373.htm,75017,1 542,1,N.C,non,N.C,"15 / 11 / 2013",83573373,"25 / 12 / 2013",1372,metro_paris:Rome,,53 m²,,1,oui,,,,,américaine,,oui,oui,2,"BOULEVARD DES BATIGNOLLES, MÉTRO ROME, Beau F2 de 53 m² au 1er étage d'un très bel immeuble. Comprenant entrée, séjour avec cuisine américaine, 1 chambre sur cour, salle d'eau avec baignoire et douche, WC séparés. Très calme. Cave au sous-sol. Contacter Virginie FELIX.",1660,"06 17 06 03 72","Très agréable",36,2013/10/01,4,4,4,4,3,4,4,3,4,3,4,3,3,3
http://www.seloger.com/annonces/locations/appartement/paris-15eme-75/citroen-boucicaut/80581003.htm,75015,1 545,2,oui,non,1,"15 / 11 / 2013",A0807-121,,,,,57 m²,,1,oui,,,,,,oui,,oui,2,"Rue Cauchy. Dans quartier calme, agréable et commerçant. Résidence récente idéalement située à deux pas du parc André Citroën et de la rue Saint-Charles. Appartement comprenant: Entrée, séjour en parquet, chambre, balcon 9 m², cuisine, salle de bain, WC. Parking et cave inclus.",990,"0825 16 75 75(prix d'un appel local)","Très agréable",29,2013/10/17,4,4,4,4,4,3,4,4,4,3,4,3,3,3
